Tarih,PM10
31 12 2019,29.753965
30 12 2019,8.530792273
29 12 2019,27.73983617
28 12 2019,14.53591238
27 12 2019,13.29732913
26 12 2019,31.58549875
25 12 2019,22.35135533
24 12 2019,30.85386667
23 12 2019,
22 12 2019,113.3218763
21 12 2019,74.77537833
20 12 2019,72.29152792
19 12 2019,73.37360957
18 12 2019,56.15203875
17 12 2019,46.87945317
16 12 2019,24.90694454
15 12 2019,54.67088333
14 12 2019,42.35971458
13 12 2019,36.35779417
12 12 2019,76.31796667
11 12 2019,84.47390917
10 12 2019,66.6075505
9 12 2019,70.50132958
8 12 2019,43.06414625
7 12 2019,28.59530188
6 12 2019,22.64317342
5 12 2019,8.933544143
4 12 2019,38.71686929
3 12 2019,47.2636
2 12 2019,14.06846805
1 12 2019,16.9197885
30 11 2019,54.51835442
29 11 2019,37.76369625
28 11 2019,38.53617375
27 11 2019,56.84937792
26 11 2019,71.81493458
25 11 2019,123.0145129
24 11 2019,127.3159283
23 11 2019,106.7291571
22 11 2019,89.16153125
21 11 2019,76.60562917
20 11 2019,69.01955375
19 11 2019,66.68770375
18 11 2019,66.03202792
17 11 2019,72.3387675
16 11 2019,73.82434542
15 11 2019,105.0729558
14 11 2019,97.17651348
13 11 2019,72.95505667
12 11 2019,80.96025048
11 11 2019,87.4399475
10 11 2019,71.823835
9 11 2019,63.2828025
8 11 2019,68.755845
7 11 2019,72.09783167
6 11 2019,76.29803917
5 11 2019,74.47517875
4 11 2019,64.38239333
3 11 2019,31.02180992
2 11 2019,12.19147196
1 11 2019,9.973368391
31 10 2019,39.08763042
30 10 2019,38.61403167
29 10 2019,31.59118042
28 10 2019,27.96694558
27 10 2019,27.87452
26 10 2019,31.249035
25 10 2019,32.14914833
24 10 2019,21.10786642
23 10 2019,16.78579367
22 10 2019,16.69646375
21 10 2019,22.14588433
20 10 2019,34.10170667
19 10 2019,31.20750364
18 10 2019,29.32005432
17 10 2019,51.31968
16 10 2019,73.24234208
15 10 2019,71.019834
14 10 2019,50.37996333
13 10 2019,39.03889892
12 10 2019,21.67045333
11 10 2019,28.57741375
10 10 2019,31.58608267
9 10 2019,24.52732958
8 10 2019,32.09529163
7 10 2019,16.35323427
6 10 2019,41.16903917
5 10 2019,56.35834167
4 10 2019,43.21445625
3 10 2019,43.99053375
2 10 2019,41.24870342
1 10 2019,28.11047317
30 09 2019,23.90655429
29 09 2019,23.24196729
28 09 2019,18.4347245
27 09 2019,31.67907833
26 09 2019,24.23921042
25 09 2019,38.23449476
24 09 2019,24.80473792
23 09 2019,28.05380458
22 09 2019,24.52247888
21 09 2019,12.01171988
20 09 2019,29.50339958
19 09 2019,38.29150333
18 09 2019,42.24430667
17 09 2019,31.36658571
16 09 2019,20.02911917
15 09 2019,24.21785667
14 09 2019,19.56454214
13 09 2019,
12 09 2019,
11 09 2019,19.22485958
10 09 2019,22.46689318
9 09 2019,23.17355167
8 09 2019,30.09127375
7 09 2019,22.4061515
6 09 2019,28.46931958
5 09 2019,27.698325
4 09 2019,27.74914125
3 09 2019,22.29239042
2 09 2019,24.49487292
1 09 2019,26.80875
31 08 2019,29.87079042
30 08 2019,23.75762875
29 08 2019,23.47942917
28 08 2019,26.53862375
27 08 2019,26.97944875
26 08 2019,24.89120917
25 08 2019,38.24410708
24 08 2019,32.35826292
23 08 2019,27.3258575
22 08 2019,24.9967325
21 08 2019,21.307405
20 08 2019,13.01092418
19 08 2019,12.25542648
18 08 2019,19.90123333
17 08 2019,31.36133583
16 08 2019,28.584972
15 08 2019,39.81402
14 08 2019,29.84530667
13 08 2019,19.86693254
12 08 2019,27.70678667
11 08 2019,27.83445125
10 08 2019,38.30836833
9 08 2019,31.82217043
8 08 2019,23.32788208
7 08 2019,20.61060646
6 08 2019,17.42687833
5 08 2019,20.08865108
4 08 2019,38.59364542
3 08 2019,24.08650417
2 08 2019,30.99441375
1 08 2019,30.50744042
31 07 2019,30.19567917
30 07 2019,47.17410542
29 07 2019,26.316597
28 07 2019,29.49535708
27 07 2019,22.5199775
26 07 2019,21.01649417
25 07 2019,26.54710458
24 07 2019,26.74167667
23 07 2019,22.90499167
22 07 2019,32.86131708
21 07 2019,43.10159375
20 07 2019,26.8904925
19 07 2019,27.71406591
18 07 2019,
17 07 2019,
16 07 2019,
15 07 2019,
14 07 2019,
13 07 2019,12.99347142
12 07 2019,13.64054646
11 07 2019,37.02040783
10 07 2019,28.41661409
9 07 2019,28.24805375
8 07 2019,29.02052833
7 07 2019,31.65659
6 07 2019,33.72463708
5 07 2019,31.85042708
4 07 2019,30.87003708
3 07 2019,23.54566217
2 07 2019,18.404764
1 07 2019,22.76963791
30 06 2019,19.231255
29 06 2019,29.606465
28 06 2019,35.63003667
27 06 2019,34.86147083
26 06 2019,24.84093417
25 06 2019,25.90847292
24 06 2019,25.78964833
23 06 2019,22.05986167
22 06 2019,24.17771458
21 06 2019,21.32411
20 06 2019,19.16646292
19 06 2019,30.1537425
18 06 2019,24.13351167
17 06 2019,26.38761818
16 06 2019,25.71140625
15 06 2019,20.62257667
14 06 2019,31.09498667
13 06 2019,20.9480305
12 06 2019,
11 06 2019,
10 06 2019,
9 06 2019,
8 06 2019,25.298305
7 06 2019,25.07634
6 06 2019,29.26780053
5 06 2019,29.99660316
4 06 2019,
3 06 2019,
2 06 2019,31.69998292
1 06 2019,36.74734708
31 05 2019,28.92938545
30 05 2019,64.93741619
29 05 2019,41.18348381
28 05 2019,21.57121263
27 05 2019,23.17195054
26 05 2019,22.45674583
25 05 2019,31.37538583
24 05 2019,35.50997095
23 05 2019,24.70446458
22 05 2019,
21 05 2019,
20 05 2019,
19 05 2019,
18 05 2019,
17 05 2019,
16 05 2019,
15 05 2019,
14 05 2019,
13 05 2019,
12 05 2019,
11 05 2019,
10 05 2019,
9 05 2019,
8 05 2019,
7 05 2019,37.48058167
6 05 2019,
5 05 2019,
4 05 2019,
3 05 2019,
2 05 2019,
1 05 2019,
30 04 2019,46.2806375
29 04 2019,45.89904917
28 04 2019,43.446236
27 04 2019,38.65715727
26 04 2019,31.33420625
25 04 2019,25.22500542
24 04 2019,
23 04 2019,
22 04 2019,
21 04 2019,
20 04 2019,
19 04 2019,
18 04 2019,
17 04 2019,
16 04 2019,
15 04 2019,
14 04 2019,37.87593045
13 04 2019,25.49653
12 04 2019,18.02967014
11 04 2019,19.69523041
10 04 2019,
9 04 2019,
8 04 2019,19.9916635
7 04 2019,28.09365042
6 04 2019,
5 04 2019,
4 04 2019,28.14207182
3 04 2019,
2 04 2019,
1 04 2019,
31 03 2019,
30 03 2019,
29 03 2019,
28 03 2019,
27 03 2019,
26 03 2019,
25 03 2019,
24 03 2019,
23 03 2019,24.37230008
22 03 2019,21.55382875
21 03 2019,26.86774246
20 03 2019,25.76418083
19 03 2019,33.48260333
18 03 2019,23.51832667
17 03 2019,13.91028171
16 03 2019,14.23445305
15 03 2019,39.36939167
14 03 2019,18.40635963
13 03 2019,24.09733375
12 03 2019,38.00728292
11 03 2019,48.99693417
10 03 2019,31.68720208
9 03 2019,36.98326283
8 03 2019,32.799153
7 03 2019,16.84878758
6 03 2019,33.79213417
5 03 2019,
4 03 2019,
3 03 2019,
2 03 2019,
1 03 2019,
28 02 2019,
27 02 2019,
26 02 2019,
25 02 2019,
24 02 2019,
23 02 2019,
22 02 2019,
21 02 2019,
20 02 2019,
19 02 2019,
18 02 2019,
17 02 2019,
16 02 2019,
15 02 2019,
14 02 2019,
13 02 2019,
12 02 2019,
11 02 2019,
10 02 2019,
9 02 2019,
8 02 2019,
7 02 2019,
6 02 2019,
5 02 2019,64.74889435
4 02 2019,48.36131762
3 02 2019,37.80609364
2 02 2019,28.31854183
1 02 2019,20.09175963
31 01 2019,37.71648958
30 01 2019,90.06785417
29 01 2019,61.60595583
28 01 2019,90.436465
27 01 2019,85.45809208
26 01 2019,74.52028583
25 01 2019,71.36240913
24 01 2019,72.68078696
23 01 2019,134.2818926
22 01 2019,111.3459371
21 01 2019,86.71514625
20 01 2019,103.1996042
19 01 2019,72.19177708
18 01 2019,47.03154458
17 01 2019,34.71447708
16 01 2019,7.489637125
15 01 2019,30.25134792
14 01 2019,49.149775
13 01 2019,62.50366042
12 01 2019,81.28344261
11 01 2019,85.83763348
10 01 2019,54.96529542
9 01 2019,23.75154425
8 01 2019,30.88271554
7 01 2019,
6 01 2019,
5 01 2019,
4 01 2019,
3 01 2019,
2 01 2019,
1 01 2019,
31 12 2018,
30 12 2018,
29 12 2018,
28 12 2018,
27 12 2018,33.47971217
26 12 2018,7.001156042
25 12 2018,30.62409475
24 12 2018,31.08414417
23 12 2018,53.43478261
22 12 2018,46.79478458
21 12 2018,43.85714286
20 12 2018,12.3
19 12 2018,37.34782609
18 12 2018,43.53662
17 12 2018,93.199645
16 12 2018,73.3028
15 12 2018,65.37471458
14 12 2018,
13 12 2018,
12 12 2018,
11 12 2018,
10 12 2018,
9 12 2018,
8 12 2018,25.63709021
7 12 2018,
6 12 2018,
5 12 2018,
4 12 2018,
3 12 2018,
2 12 2018,
1 12 2018,
30 11 2018,
29 11 2018,
28 11 2018,
27 11 2018,
26 11 2018,
25 11 2018,
24 11 2018,
23 11 2018,
22 11 2018,
21 11 2018,
20 11 2018,
19 11 2018,
18 11 2018,
17 11 2018,
16 11 2018,
15 11 2018,
14 11 2018,
13 11 2018,
12 11 2018,
11 11 2018,
10 11 2018,
9 11 2018,
8 11 2018,
7 11 2018,
6 11 2018,
5 11 2018,
4 11 2018,
3 11 2018,
2 11 2018,
1 11 2018,
31 10 2018,
30 10 2018,
29 10 2018,
28 10 2018,
27 10 2018,
26 10 2018,
25 10 2018,
24 10 2018,
23 10 2018,
22 10 2018,23.33272154
21 10 2018,29.53729208
20 10 2018,53.23720625
19 10 2018,63.5522475
18 10 2018,
17 10 2018,111.5195804
16 10 2018,258.1315083
15 10 2018,129.3901933
14 10 2018,45.80826708
13 10 2018,26.45922571
12 10 2018,23.58085542
11 10 2018,14.36783204
10 10 2018,10.334921
9 10 2018,30.2510025
8 10 2018,38.91458045
7 10 2018,27.42192167
6 10 2018,12.9984685
5 10 2018,13.04111375
4 10 2018,27.49611875
3 10 2018,21.54549658
2 10 2018,25.87727792
1 10 2018,29.03538417
30 09 2018,36.53870083
29 09 2018,30.64816381
28 09 2018,18.62488338
27 09 2018,11.41645979
26 09 2018,11.04131871
25 09 2018,39.82905958
24 09 2018,50.37606
23 09 2018,24.87524625
22 09 2018,22.16692333
21 09 2018,23.83333333
20 09 2018,21.00064833
19 09 2018,19.32426005
18 09 2018,14.2030465
17 09 2018,25.46044083
16 09 2018,29.64914333
15 09 2018,31.8844125
14 09 2018,55.18277292
13 09 2018,51.63594227
12 09 2018,20.76570083
11 09 2018,22.07812458
10 09 2018,24.17216
9 09 2018,30.65390792
8 09 2018,29.38085
7 09 2018,29.98397542
6 09 2018,51.32073417
5 09 2018,40.07544917
4 09 2018,36.975095
3 09 2018,32.4039075
2 09 2018,34.30100083
1 09 2018,34.41329792
31 08 2018,39.39974542
30 08 2018,33.65334875
29 08 2018,34.58098818
28 08 2018,34.58955
27 08 2018,35.61456045
26 08 2018,31.614875
25 08 2018,32.99028
24 08 2018,28.0619675
23 08 2018,30.05563208
22 08 2018,27.95534458
21 08 2018,28.55974375
20 08 2018,35.54963208
19 08 2018,35.73604292
18 08 2018,30.57586333
17 08 2018,30.1810725
16 08 2018,27.81266
15 08 2018,25.91083583
14 08 2018,26.57349217
13 08 2018,22.96419211
12 08 2018,17.03943967
11 08 2018,28.02522667
10 08 2018,26.00636167
9 08 2018,23.34626458
8 08 2018,36.10306
7 08 2018,29.7386175
6 08 2018,28.75222542
5 08 2018,25.03366625
4 08 2018,33.21291333
3 08 2018,40.68079
2 08 2018,43.59419208
1 08 2018,34.16332417
31 07 2018,23.68865292
30 07 2018,32.40090708
29 07 2018,26.47504917
28 07 2018,29.0691525
27 07 2018,39.84949826
26 07 2018,39.912105
25 07 2018,41.46590875
24 07 2018,39.14026333
23 07 2018,24.83255583
22 07 2018,21.15188667
21 07 2018,21.24234667
20 07 2018,21.76776417
19 07 2018,21.75625192
18 07 2018,26.28066091
17 07 2018,24.11787952
16 07 2018,23.53898708
15 07 2018,26.79804125
14 07 2018,33.54262333
13 07 2018,32.28716542
12 07 2018,37.47667667
11 07 2018,37.78745042
10 07 2018,35.78993042
9 07 2018,39.29300667
8 07 2018,28.16348708
7 07 2018,30.95562083
6 07 2018,29.98935458
5 07 2018,28.07631542
4 07 2018,19.91840879
3 07 2018,14.70112783
2 07 2018,19.55816375
1 07 2018,29.84630208
30 06 2018,28.28071083
29 06 2018,37.71007542
28 06 2018,31.51987333
27 06 2018,30.47383625
26 06 2018,16.99259292
25 06 2018,16.252926
24 06 2018,22.04333625
23 06 2018,23.08693875
22 06 2018,24.45585583
21 06 2018,17.40758971
20 06 2018,17.63077083
